y4_hhid,labour_total,labore,labour_wage,labour_total_pola,labour_wage_pola,hourly_wage,hourly_wage_new
3246-001,52,166.39999,85000,52,85000,510.81732,510.81732
3248-001,16,51.200001,76000,16,76000,1484.375,1484.375
3249-001,46,147.2,190000,46,190000,1290.7609,1290.7609
3261-001,440,1408,1805000,440,1805000,1281.9602,1281.9602
3262-001,148,473.60001,558000,148,558000,1178.2095,1178.2095
3263-001,126,403.20001,1351000,126,1351000,3350.6943,3350.6943
3264-001,0,0,0,0,0,,
3265-001,123,393.60001,135000,123,135000,342.98779,342.98779
3266-001,97,310.39999,140000,97,140000,451.03094,451.03094
3267-001,0,0,0,0,0,,
3268-001,17,54.400002,104000,17,104000,1911.7646,1911.7646
3305-001,0,0,0,0,0,,
3325-001,0,0,0,0,0,,
3419-001,0,0,0,0,0,,
3462-001,0,0,0,0,0,,
3492-001,0,0,0,0,0,,
3495-001,0,0,0,0,0,,
3546-001,16,51.200001,45000,16,45000,878.90625,878.90625
3549-001,4,12.8,30000,4,30000,2343.75,2343.75
3603-001,0,0,0,0,0,,
3605-001,0,0,0,0,0,,
3606-001,0,0,0,0,0,,
3607-001,0,0,0,0,0,,
3608-001,10,32,30000,10,30000,937.5,937.5
3609-001,0,0,0,0,0,,
3610-001,0,0,0,0,0,,
3622-001,0,0,0,0,0,,
3627-001,46,147.2,440000,46,440000,2989.1306,2989.1306
3628-001,6,19.200001,70000,6,70000,3645.8333,3645.8333
3630-001,6,19.200001,5500,6,5500,286.45831,286.45831
3641-001,12,38.400002,15000,12,15000,390.62497,390.62497
3642-001,12,38.400002,36000,12,36000,937.49994,937.49994
3643-001,23,73.599998,15000,23,15000,203.80435,203.80435
3644-001,0,0,0,0,0,,
3645-001,0,0,0,0,0,,
3646-001,0,0,0,0,0,,
3647-001,0,0,0,0,0,,
3648-001,30,96,30000,30,30000,312.5,312.5
3660-001,124,396.79999,2200000,124,2200000,5544.355,5544.355
3662-001,0,0,0,0,0,,
3663-001,0,0,0,0,0,,
3664-001,0,0,0,0,0,,
3665-001,8,25.6,100000,8,100000,3906.25,3906.25
3666-001,0,0,0,0,0,,
3667-001,1,3.2,8000,1,8000,2500,2500
3682-001,12,38.400002,50000,12,50000,1302.0833,1302.0833
3687-001,6,19.200001,20000,6,20000,1041.6666,1041.6666
3698-001,12,38.400002,400000,12,400000,10416.666,10416.666
3699-001,7,22.4,70000,7,70000,3125,3125
3702-001,2,6.4000001,40000,2,40000,6250,6250
3703-001,0,0,0,0,0,,
3704-001,0,0,0,0,0,,
