y4_hhid,male_hours,male_days,female_hours,female_days,children_hours,children_days,kids_hours,kids_days,teenagers_hours,teenagers_days
2105-001,263.0,91.0,246.0,96.0,144.0,53.0,140.0,51.0,4.0,2.0
2106-001,29.0,11.0,23.0,9.0,,,,,,
2107-001,247.0,115.0,278.0,132.0,36.0,16.0,36.0,16.0,,
2108-001,236.0,39.0,433.0,71.0,,,,,,
2109-001,364.0,182.0,350.0,175.0,,,,,,
2110-001,446.0,86.0,446.0,86.0,,,,,,
2121-001,247.0,55.0,252.0,57.0,,,,,,
2122-001,260.0,53.0,,,,,,,,
2123-001,1056.0,187.0,379.0,69.0,,,,,,
2124-001,351.0,69.0,421.0,92.0,17.0,4.0,17.0,4.0,,
2125-001,717.0,103.0,282.0,50.0,,,,,,
2126-001,91.0,17.0,323.0,58.0,,,,,,
2127-001,380.0,90.0,364.0,85.0,,,,,,
2128-001,132.0,33.0,188.0,47.0,,,,,,
2140-001,146.0,40.0,500.0,152.0,375.0,115.0,168.0,51.0,207.0,64.0
2141-001,32.0,10.0,50.0,16.0,,,,,,
2142-001,680.0,150.0,,,,,,,,
2143-001,103.0,25.0,109.0,28.0,202.0,49.0,99.0,24.0,103.0,25.0
2144-001,104.0,65.0,38.0,23.0,10.0,5.0,10.0,5.0,,
2145-001,40.0,12.0,132.0,46.0,63.0,25.0,29.0,11.0,34.0,14.0
2146-001,1864.0,257.0,,,834.0,117.0,834.0,117.0,,
2147-001,0.0,0.0,548.0,131.0,,,,,,
2159-001,119.0,45.0,130.0,56.0,182.0,68.0,121.0,45.0,61.0,23.0
2160-001,213.0,34.0,213.0,34.0,,,,,,
2161-001,68.0,26.0,1594.0,493.0,1002.0,297.0,1002.0,297.0,,
2162-001,318.0,53.0,570.0,95.0,,,,,,
2163-001,,,,,,,,,,
2164-001,469.0,114.0,474.0,118.0,98.0,31.0,98.0,31.0,,
2165-001,888.0,267.0,1372.0,431.0,,,,,,
2166-001,62.0,23.0,84.0,35.0,,,,,,
2178-001,,,,,,,,,,
2179-001,50.0,18.0,82.0,32.0,,,,,,
2180-001,310.0,151.0,310.0,151.0,53.0,24.0,53.0,24.0,,
2181-001,92.0,31.0,92.0,31.0,,,,,,
2182-001,,,,,,,,,,
2183-001,,,,,,,,,,
2184-001,19.0,5.0,250.0,105.0,38.0,17.0,38.0,17.0,,
2185-001,214.0,63.0,642.0,189.0,,,,,,
2197-001,301.0,43.0,,,301.0,43.0,,,301.0,43.0
2198-001,114.0,16.0,114.0,16.0,,,,,,
2199-001,126.0,69.0,173.0,98.0,4.0,2.0,4.0,2.0,,
2200-001,849.0,116.0,868.0,119.0,1160.0,173.0,560.0,83.0,600.0,90.0
2201-001,128.0,28.0,138.0,38.0,516.0,116.0,516.0,116.0,,
2202-001,329.0,86.0,375.0,105.0,,,,,,
2203-001,39.0,6.0,39.0,6.0,,,,,,
